image_file,url,title,description,type
85-17114.png,https://img.bricklink.com/ItemImage/PT/85/17114.t1.png,17114,"Technic, Brick Modified 2 x 2 with 2 Ball Joints and Axle Hole","Catalog: Parts: Technic, Brick"
120-57909bpb01R.png,https://img.bricklink.com/ItemImage/PT/120/57909bpb01R.t1.png,57909bpb01R,"Technic, Brick Modified 2 x 2 with 6 Holes Ball Joint and Axle Hole with Dark Green Hatch with 2 Gold Screws Pattern (Sticker) - Set 70735","Catalog: Parts: Technic, Brick"
6-47431.png,https://img.bricklink.com/ItemImage/PT/6/47431.t1.png,47431,"Technic, Brick Modified 2 x 2 with Axle Hole, Rotation Joint Ball Half Vertical, and Fist","Catalog: Parts: Technic, Brick"
120-57909bpb01L.png,https://img.bricklink.com/ItemImage/PT/120/57909bpb01L.t1.png,57909bpb01L,"Technic, Brick Modified 2 x 2 with Ball and Axle Hole with 6 Holes in Ball with Open Hatch with Red and Yellow Wires Pattern (Sticker) - Set 70735","Catalog: Parts: Technic, Brick"
85-57909pb01L.png,https://img.bricklink.com/ItemImage/PT/85/57909pb01L.t1.png,57909pb01L,"Technic, Brick Modified 2 x 2 with Ball and Axle Hole with Black Fang and Bolted Plates Pattern Model Left Side (Sticker) - Set 70012-2","Catalog: Parts: Technic, Brick"
85-57909pb01R.png,https://img.bricklink.com/ItemImage/PT/85/57909pb01R.t1.png,57909pb01R,"Technic, Brick Modified 2 x 2 with Ball and Axle Hole with Black Fang and Bolted Plates Pattern Model Right Side (Sticker) - Set 70012-2","Catalog: Parts: Technic, Brick"
85-57909.png,https://img.bricklink.com/ItemImage/PT/85/57909.t1.png,57909,"Technic, Brick Modified 2 x 2 with Ball Joint and Axle Hole","Catalog: Parts: Technic, Brick"
85-57909b.png,https://img.bricklink.com/ItemImage/PT/85/57909b.t1.png,57909b,"Technic, Brick Modified 2 x 2 with Ball Joint and Axle Hole with 6 Holes in Ball","Catalog: Parts: Technic, Brick"
85-62712.png,https://img.bricklink.com/ItemImage/PT/85/62712.t1.png,62712,"Technic, Brick Modified 2 x 2 with Ball Socket and Axle Hole - Angled Forks with Flat Ends and Open Sides","Catalog: Parts: Technic, Brick"
85-57910.png,https://img.bricklink.com/ItemImage/PT/85/57910.t1.png,57910,"Technic, Brick Modified 2 x 2 with Ball Socket and Axle Hole - Angled Forks with Round Ends and Open Sides","Catalog: Parts: Technic, Brick"
